檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
11,自帶螢幕的耳機！可以自由更換螢幕內容！#morningblues #block #x1,2025/8/14,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=lE6DlmdiAA0,否,是單純開箱影片,lE6DlmdiAA0
12,如何面不改色的在記者面前講幹話#joeman #感情 #女友,2025/7/22,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=If_2YsNlXuY,否,無商業資訊,If_2YsNlXuY
13,終於吃到傳說中的香菜多力多滋！如果是本來就敢吃香菜的話我覺得好吃！但把它揉碎配麵線會好吃嗎？,2025/6/9,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=-kzdKcsZrn8,否,是單純開箱影片,#NAME?
14,開箱全台唯一千萬訂閱Youtuber的家！頻道分潤大揭密！1000萬訂閱對決100萬訂閱對決10萬訂閱下集《Joe是要對決S2》Ep267 ft.DODOMEN、奇軒【Joeman】,2025/6/2,挑戰/企劃,長片,非業配,0,,TRUE,上集我們參觀了擁有十萬與百萬訂閱 YouTuber的 家，聊了很多關於創作的血淚史。下集除了Ian將接續分享當初從蘋果離職的原因；更重要的是，終於要開箱全台唯一的千萬訂閱創作者的家啦！到底奢華程度跟訂閱數是不是成正比呢？想知道千萬訂閱者的後台分潤嗎？一起看下去 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 我抵押房子買特斯拉！朋友都說我瘋了！聊一下我今年的資產配置跟背後邏輯 ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ 充滿炎上與衝突的Threads深度心得分析！網紅觀察室 ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bwk ⏎ 世界第一網紅MrBeast都怎樣做節目的？網紅觀察室 ⏎ https://www.youtube.com/watch?v=0ULS8rJk9cM ⏎ 我對於Dca,https://www.youtube.com/watch?v=TFF2IP025C4,否,無商業資訊,TFF2IP025C4
15,傳說全世界的蘋果專賣店螢幕角度都是76度，為的竟然是要讓消費者忍不住去轉螢幕？,2025/3/27,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=3mZB_dr4mdc,否,無商業資訊,3mZB_dr4mdc
16,輕薄筆電之王！性價比高到不像蘋果！M4 Macbook Air開箱！【Joeman】,2025/3/26,3C開箱評測,長片,非業配,0,,TRUE,2025最有性價比的蘋果 M4 Macbook Air開箱！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期團購連結：https://linkgoods.com/joeman,https://www.youtube.com/watch?v=3C8nj7wwMtY,否,推測為單純開箱影片,3C8nj7wwMtY
17,一戶4億的東區第一豪宅！台北之星鑽石塔Diamond Towers ft.EMC Ryan《Joe是要看房》 ep.52【Joeman】,2025/3/22,看房/房產,長片,非業配,1,品牌官方導流,TRUE,一戶4億的台北之星！全台北最方便的豪宅！《Joe是要看房》 ep.52【Joeman】 ⏎ . ⏎ 龍聯集團｜龍麟建設 ｜地主戶限量珍藏｜150坪 or 300坪 限定釋出｜Diamomd Towers 台北之星 ⏎ 官網預約鑑賞：https://WWW.DIAMONDTOWERS.TW ⏎ 預約鑑賞專線：0937-451-817 喬尼置業 蘇副總 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=HRD7u-dzjkU,是,因是跟廠商談交換，用拍攝該題材換取廠商品牌宣傳，歸屬業配影片,HRD7u-dzjkU
18,一台24萬的頂規Macbook Pro！這代M4 Max效能可以雙開剪輯軟體剪4K，轉檔速度幾乎是M4的一倍！舒服～,2025/2/19,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=xMRWe8L2vDc,否,是單純開箱影片,xMRWe8L2vDc
19,不到2萬、最便宜的iPhone要來了？除了價格很划算，可能也是最輕巧、背面造型最簡約的iPhone！#iphonese4 #iphone16e,2025/2/18,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=gvTHJf5DSq8,否,僅分享網傳資訊,gvTHJf5DSq8
20,6680元的奢華川菜對決140元的平價川菜！《Joe是要對決S2》Ep250 ft.阿貝【Joeman】,2025/2/3,挑戰/企劃,長片,非業配,0,,TRUE,這次我們要挑戰大家對 Fine Dining 的印象！提到 Fine Dining，大家通常會聯想到高價位與極致美味，但多數都是西餐。而這次，我們竟然找到了一家純正川菜的 Fine Dining！這不禁讓我想起之前在韓國拍攝 崔鉉碩主廚的「CHOI'S」，他將傳統韓食提升到了 Fine Dining 的層次，而這次的川菜版本，絕對值得一探究竟。 ⏎ 當然，除了高端的川菜，我們也找到了台北代表性的平價川菜老店！這間位於 永康街商圈的老字號川菜館，已經屹立不搖超過 50 年，到底是什麼魅力讓它能歷久不衰？Fine Dining 川菜 VS. 平價傳統川菜，這場極致對決，準備讓大家口水直流！點開影片，一起開眼界、饞起來！ ⏎ #送禮首選 #老協珍 #人蔘精 #各大通路熱銷中 ⏎ 即日起到2/18，老協珍人蔘精在各大通路享買2送1 ⏎ 老協珍人蔘精  陪你挑戰真人生 ⏎ 堅持使用整支人蔘熬煮，完整釋放人蔘營養 ⏎ 總皂苷,https://www.youtube.com/watch?v=GGaglnio_OE,是,下分有老協珍業配資訊連結,GGaglnio_OE
21,"S25 Ultra 新機搶先看！#S25Ultra #GalaxyAI#GalaxyUnpacked",2025/1/23,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=SxMLEsBGl5Y,是,該商品的影片發布時間，早於台灣上市時間，判斷為廠商業配影片,SxMLEsBGl5Y
22,全世界最高住宅！超過20億的頂奢豪宅！住在120樓的人生是什麼體驗？Central Park Tower《Joe是要看房美國篇》ep.9,2024/7/30,看房/房產,長片,非業配,0,,TRUE,今天要開箱的豪宅突破本頻道紀錄！是價格超過20億的紐約曼哈頓豪宅，同時也是全球最高住宅Central Park Tower，凌空120樓，家裡就坐擁整個中央公園的綠意，同時還能一覽曼哈頓天際線，一層一戶，室內高達200坪，平均一坪價格超過台幣1000萬，樓下就有米其林主廚服務的專屬私廚跟高級百貨，這棟樓可以說是世界富豪的終點！...之一？ ⏎ 代理銷售美國知名建案，臺美兩地房產顧問專業服務 ⏎ FUNWOO 德載國際不動產：https://funwoo.com.tw/ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.,https://www.youtube.com/watch?v=fQWQd-rBcsA,是,該影片下方有房地產顧問服務的導流,fQWQd-rBcsA
23,AI是否會取代Youtuber？聊一下目前AI對影片創作者的改變【Joeman】網紅觀察室,2024/6/18,人物/訪談,長片,非業配,0,,TRUE,生成式AI盛行後，各行各業都開始追求利用AI來優化工作流程與細節，甚至也會造成AI焦慮，大家開始擔心自己未來會不會被取代，今天這支影片就要來聊聊AI是否會取代Youtuber，對於未來創作者會有怎樣的改變？我個人認為目前AI在影片創作的許多細節中已經很成熟，例如音軌降躁、畫面降躁等等細節，但在影像生成跟圖片生成中還有一些路要走，但絕對也是會改變未來的創作者！ ⏎ 更多產品資訊: https://www.gigabyte.com/tw ⏎ 活動當天體驗 VR demo 是由一位香港的YouTuber Hugh Hou創作 ⏎ 🔗https://www.youtube.com/@hughhou ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：htt,https://www.youtube.com/watch?v=yass3_pOl9g,否,無商業資訊,yass3_pOl9g
24,八九妹又來了！說要現金買車！結果⋯,2024/5/31,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=ujs-zSoiHkQ,否,無商業資訊,ujs-zSoiHkQ
25,跟李多慧一起跳大小姐晚安！,2024/5/17,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=UkZdyUHXS8Y,否,無商業資訊,UkZdyUHXS8Y
26,超巨大蛋糕挑戰竟意外湊合一對佳偶？,2024/4/28,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=HtLvpLmdJb8,否,無商業資訊,HtLvpLmdJb8
27,用死神辣椒調味的炸雞！才吃一口就被辣到神智不清！#美式炸雞 #hotties,2024/3/18,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=lkTMki6KZ1E,否,無商業資訊,lkTMki6KZ1E
28,以後沒藉口不遛狗了～#visionpro #walkingdog,2024/2/25,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=iLuwT84GYO4,否,無商業資訊,iLuwT84GYO4
29,2024刮刮樂大賽！花30萬給員工刮600張！【Joeman】,2024/2/1,未分類,長片,非業配,0,,TRUE,一年一度的刮刮樂大賽又來啦！今年直接砸30萬買了超過600張刮刮樂，到底最後誰會是最大贏家呢？ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=qVXEr1x2Pwc,否,無商業資訊,qVXEr1x2Pwc
30,當你遇到很嗆的來賓⋯  #joe是要對決,2023/12/25,挑戰/企劃,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=4Fct9vAEA6w,否,無商業資訊,4Fct9vAEA6w
31,一個人7萬日幣的頂級東京鐵板燒！東京帝國飯店嘉門鐵板燒！#鐵板燒 #帝國飯店 #奢華料理 #東京 #joe是要對決,2023/11/16,挑戰/企劃,Shorts,非業配,0,,FALSE,一個人7萬日幣的頂級東京鐵板燒！東京帝國飯店嘉門鐵板燒！ ⏎ #鐵板燒 #帝國飯店 #奢華料理 #東京 #joe是要對決,https://www.youtube.com/watch?v=HquWaQARgkg,否,無商業資訊,HquWaQARgkg
32,沒看價錢就點餐的下場，到了才發現是奢華健康餐…#健康餐 #奢華 #friday #tgif #健身餐 #沙拉,2023/10/27,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=xKO7ni6rS8I,否,無商業資訊,xKO7ni6rS8I
33,當你發現錯過河北彩花的擁抱…#河北彩花 #走鐘獎 #中指通 #羨慕忌妒恨 #如果有時光機,2023/10/14,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=s75EI9HxVCU,否,無商業資訊,s75EI9HxVCU
34,Youtube流量大暴跌！到底為什麼？【Joeman】網紅觀察室,2023/9/28,人物/訪談,長片,非業配,0,,TRUE,近半年來包含我自己跟身邊幾個同行的Youtube流量正以雪崩式的速度下滑，來聊一下到底是為什麼？ ⏎ 每個月100元就可以看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42 ⏎ 我的小紅書:joemanweng,https://www.youtube.com/watch?v=_gvGQCaBPN0,否,無商業資訊,_gvGQCaBPN0
35,【Joeman】輕薄小巧的電競筆電！第 13 代 Intel® Core™ i7-13700H 的 MSI Stealth 14 Studio,2023/6/1,電競賽事,長片,非業配,0,,FALSE,今天要來開箱一台非常實用且輕便可攜的電競筆電 MSI Stealth 14 Studio，他搭載了效能更強大的第 13 代 Intel® Core™ i7-13700H 處理器，這次我們測試的是性能跟價格都相當棒的 RTX4060 版本，由於搭配了一塊 16:10 的 QHD+ 240HZ 螢幕，所以無論打遊戲或多媒體影音創作都可以勝任，重點是超輕的～機身本體只有 1.7 公斤，是 14 吋電競筆電裡最輕，而且外觀是全新模具，很多小細節都非常好看，如果是近期想買一台便攜電競筆電的人，可以參考看看～ ⏎ ▼產品這裡買▼ ⏎ https://24h.pchome.com.tw/prod/DHAK5R-A900G878D,https://www.youtube.com/watch?v=X9rgnYi3UFw,是,下方有提到「產品這裡買」有直接導流該商品,X9rgnYi3UFw
36,【Joeman】沈來了！610元的奢華滷肉飯對決30元的平價滷肉飯！小王煮瓜、阿義魯肉飯、三元號、丸林魯肉飯、台北萬豪酒店《Joe是要對決S2》Ep158 ft.陪沈團@playwithshen,2023/5/1,挑戰/企劃,長片,非業配,0,,FALSE,"兩年前拍滷肉飯對決時就有很多留言說好幾家沒拍到，所以決定再來拍一次！而且邀請到我的台南新營同鄉沈！這次能發掘出怎樣的滷肉飯呢？ ⏎ 【BRITA mypure pro X9櫥下瞬熱雙溫淨水組】 ⏎ 專利3秒瞬熱，UV紫外線殺菌，無熱缸省空間更省電! 搭配X9淨水器，濾除病毒、細菌，同時保留有益礦物質，5段水溫*、4段水量，安心生飲*，完美滿足你淨水、熱水雙需求! 🔥了解更多: https://bit.ly/3AANPBs ⏎ *註1: 出水溫度會因原水、環境、管線及容器溫度與使用方式等因素，產生溫度上一定的誤差值 ⏎ *註2: 通過經濟部標檢局要求「飲用水質標準中, 安全性危害風險較高」之25項，於2022/2/17於台灣碧然德辦公室完成取樣; 僅限使用合格自來水水源，且住宅之儲水設備至少每6-12個月定期標準清洗且無受汙染之虞",https://www.youtube.com/watch?v=Azzc1zPnEa8,是,下方資訊欄有商品導流,Azzc1zPnEa8
37,【Joeman】Vlog機中的天花板！Sony這次牙膏擠爆了吧？ZV-E1開箱實測,2023/4/2,3C開箱評測,長片,非業配,0,,FALSE,ZV系列這幾年來一直是Sony力推的Vlog產品線，很多懶人功能也的確很好用，但我從沒想過他們竟然會有一天推出一款跟電影機同樣感光元件的ZV-E1，而且在拍攝格式上毫無閹割，甚至有些地方還比A7S3或FX3好用...然後售價更便宜...我還能說甚麼，喜歡Solo拍片的趕快訂吧！ ⏎ 產品資訊:https://www.sony.com.tw/zh/electronics/interchangeable-lens-cameras/zv-e1,https://www.youtube.com/watch?v=4o-MFQWNIBE,是,下方資訊欄有商品導流,4o-MFQWNIBE
38,【Joeman】一次開箱5款Sony麥克風！不用充電隨插隨用？Sony ECM-G1、B10、B1M、W2BT、LV1開箱,2023/3/31,3C開箱評測,長片,非業配,0,,FALSE,很多人會私訊問我拍片的麥克風要怎麼買，我都會問它用的是不是Sony的攝影機，如果是，那強烈推薦直接買支援他們家MI智慧熱靴的機頭麥，因為不用充電跟插線，重點是音質很好！這次我們一口氣開箱五款，各位可以按照不同需求自行參考！ ⏎ 看更多產品：https://tw-alphauniverse.sony-asia.com/microsite/maikefengshouyin,https://www.youtube.com/watch?v=VzHax3HQI0A,是,下方資訊欄有商品導流,VzHax3HQI0A
39,小米13 Pro國際版開箱！拍照跟效能都超頂～#小米 #小米13pro,2023/3/9,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=93A5AK2fpM0,是,雖然資訊欄無導流，但影片發布時間早於上市日期，且是台灣市場該商品的發表日期，推測為廠商業配,93A5AK2fpM0
40,可口可樂聯名手機！外觀超帥！真正的可樂圈鏡頭來啦～#cokecola #realme #realme10pro,2023/2/17,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=EFqF6PtSuGA,不好判定,資訊欄無導流，影片內容雖然是介紹手機且有講定價，但介紹的是限定版手機，台灣卻不會上限定版,EFqF6PtSuGA
