檢核編號,分組,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
11,A_判定業配,一次逛10個館！又好玩又崩潰的大阪萬博真實體驗！2025 EXPO 台灣館、美國館、法國館、鋼彈館、原子小金剛PASONA、NTT、西班牙館、水舞【Joeman】ft.小尾巴,2025/6/25,挑戰/企劃,長片,業配,8,專屬導購代碼|致謝贊助句型|折扣導購用語,今年日本旅遊的最熱門景點就是大阪萬博！玩起來到底好不好玩？這次我們直接把兩天20小時的過程濃縮成一小時的沉浸式體驗！一路從西口玩到東口，雖然熱門場館的確很難預約、也要各種排隊跟人擠人，但很多體驗也是非常特殊珍貴，各位今年準備要飛大阪的人還是很值得參考看看！也特別感謝JetFi eSIM大手筆一口氣贊助我們整個團隊前往萬博，即便現場超多人，但使用JetFi eSIM的過程相當順暢，無論是要傳照片給朋友、查地圖或問ChatGPT速度都很快！重點是JetFi eSIM現在在100國（當然也包含日本）都可以先免費試用，用了順暢再用APP買，無敵方便！ ⏎ 現在輸入我的折扣碼【Joeman】，再享 7 折優惠喔！ ⏎ 🔗https://jetfimobile.pse.is/joeman202506 ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ htt,https://www.youtube.com/watch?v=pxbCIQ9_s70,是,有提供折廠商提供的專屬扣碼，且宣傳優惠活動,pxbCIQ9_s70
12,A_判定業配,超害羞整人！看片到一半女優直接出現會怎樣？ft.河北彩花、中指通、TED,2023/8/8,人物/訪談,長片,業配,3,致謝贊助句型,用VR頭盔看片看到一半發現女優就在旁邊是怎樣的體驗？這次我莫名奇妙被安排了惡整企劃，但不得不說河北彩花本人真香…… ⏎ 感謝S1及AV+提供本影片使用之作品影像 ⏎ 番號為【SSIS-595 】讓您迷上的最高峰男性護膚 ⏎ 現在就上AV+收看：https://parg.co/Ufnl,https://www.youtube.com/watch?v=cPlOdCqiOIM,是,有網站導流，且於影片內揭露宣傳活動,cPlOdCqiOIM
13,A_判定業配,這是免費能看的？27900元的奢華比基尼對決290元的平價比基尼！《Joe是要對決S2》Ep170 ft.元元.拐拐.林艾融,2023/7/24,挑戰/企劃,長片,業配,3,影片合作聲明,2023年第三屆比基尼對決來啦！基本上這已經是JOE是要對決的招牌單元了，這次也邀請到非常強力的來賓元元跟艾融，同樣還有老班底，知識擔當拐拐，絕對要給大家能夠對抗豔陽的清涼感受，知識含量與流行趨勢也是加量，請大家三刷起跳！謝謝 ⏎ 炎炎夏日，現在只要出門沒多久頭皮就開始出現頭皮屑、頭皮油、頭皮癢等問題。 ⏎ 這時候就要使用全台銷售No.1洗髮精-「海倫仙度絲 科研洗髮露」！ ⏎ 皮膚科醫師推薦可以修護頭皮，適合頻繁出現頭皮問題的人，或是平時想要養護頭皮的人，男女都很適合喔！我跟拐拐在影片中有實測給大家看喔！ ⏎ 家樂福、康是美、寶雅等各大通路皆有販售 ⏎ 家樂福特價中! ⏎ https://utm.to/55q7dx,https://www.youtube.com/watch?v=gn1He1mCSIo,是,有直接商品導流,gn1He1mCSIo
14,A_判定業配,75900元的奢華行動電源對決399元的平價行動電源！《Joe是要對決S2》Ep182【Joeman】,2023/10/16,挑戰/企劃,長片,業配,14,致謝贊助句型|影片合作聲明|直接提及贊助方|折扣導購用語|行動呼籲句型|提及廠商,今天要對決非常實用，要一口氣測試10款行動電源，彼此型態各異，最近想買行動電源的人可以參考看看！ ⏎ 感謝本集的贊助廠商surfshark，現在購買有超低17折優惠跟3個月試用! 快去看看：https://surfshark.deals/joeman ⏎ 我的小紅書:joemanweng,https://www.youtube.com/watch?v=8ijDQTWwm5M,是,有直接提及贊助商名，且有宣傳優惠活動,8ijDQTWwm5M
15,A_判定業配,台南滷肉飯對決！到底是肉燥飯還是滷肉飯？開元路無名、永記、vaso弘、阿和、國榮《Joe是要對決S2》Ep278 ft.斐棋【Joeman】,2025/8/18,挑戰/企劃,長片,業配,10,專屬導購代碼|專屬導購連結|折扣導購用語|行動呼籲句型,現在使用我的專屬連結：https://surfshark.com/joeman ⏎ 輸入折扣碼「joeman」，送四個月額外使用期限！ ⏎ 對決拍小吃的時候，留言常常出現「我家巷口比較好吃」的言論。於是決定展開【魯肉飯環島企劃】！離開台北的第一站，當然是美食之都—台南！這裡的人血液裡充斥著偉特糖，飲料不全糖喝不下，魯肉飯更是神仙打架。這次挑戰五家代表性名店，從傳統古早味到口味創新派，口味各有千秋。大家心中最強的滷肉飯是哪一碗？留言刷起來！ ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bw,https://www.youtube.com/watch?v=9UgO-Fq8IRY,是,有提供折廠商提供的專屬扣碼,9UgO-Fq8IRY
16,B_臨界2分,啊～真香！ #嵐 #固態香水 #體香膏 #len,2026/3/17,未分類,Shorts,非業配,2,購買行動用語,LEN.嵐團購連結：https://gbf.tw/hisnq,https://www.youtube.com/watch?v=dA2QVBtEVps,是,有直接提供團購連結,dA2QVBtEVps
17,B_臨界2分,嘗試把員工的婚姻賣掉！吐槽建文求婚影片！《工作室日常廢片ep14》【Joeman】,2026/1/12,日常Vlog,長片,非業配,2,購買行動用語,【限時公開】嘗試把員工的婚姻賣掉！吐槽建文求婚影片！《工作室日常廢片ep14》【Joeman】 ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 直男改造系列： ⏎ 醫美：https://www.youtube.com/watch?v=CnoGML_LIbk ⏎ 穿搭：https://www.youtube.com/watch?v=FQEJ57GG2CI ⏎ 髮量：https://www.youtube.com/watch?v=KJknopvpsT4 ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.com/watch?v=WhzUI_EGxLk ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=,https://www.youtube.com/watch?v=PE_hTsHTBzE,不是,僅有9好吃益生菌自家品牌宣傳,PE_hTsHTBzE
18,B_臨界2分,爆賠150萬？日本房地產的持有成本分析！能不能貸款、要怎麼買？【Joeman】《Joe是要看房日本篇》,2024/2/21,看房/房產,長片,非業配,2,購買行動用語,關於東京房產我做了快一年的功課，當然也知道山手線最爽，港區、千代田、世田谷最尊爵，東京都東邊有淹水的可能性乾媽也早就警告過我，一戶建木造的鑑價低缺點我在談貸款也深有體會。（所以後來沒貸款，全款買入） ⏎ 以上這些我在之前的東京房產系列影片都有提到，只是房地產不可能完美，如果完美的話那價格就一定是破億起跳，這道理放諸四海皆準。 ⏎ 就好像我在台灣也想住大安或大直的大坪數新房啊，但白手起家的人有幾個買得起呢？ ⏎ 我覺得人生就是勇敢追夢，既然喜歡一個城市，那就挑能力範圍內的買，講了一輩子的好想搬去東京，那就去實踐看看，住起來自己開心舒適就好，有賺很好，賠錢也不會太難過。 ⏎ 但我真的不知道日幣會跌到0.21，哭啊！ ⏎ 這次Lojel團購只到2/29，各顏色都是現貨，售完不補！ ⏎ https://gbf.tw/eaz5r ⏎ 平常我不在的時候會委託住福幫我管理房子，大家有興趣的話也可以來住住看！https://sumi,https://www.youtube.com/watch?v=xqRCioJXXyI,是,有直接提供團購連結,xqRCioJXXyI
19,B_臨界2分,我終於買特斯拉了！台灣原廠最速車Model S Plaid 開箱！【Joeman】,2023/8/11,3C開箱評測,長片,非業配,2,折扣導購用語,開箱了這麼多台特斯拉，我終於下手買了人生中第一台電動車，超開心！它也就是之前直線加速賽中出現的那台Model S Plaid，這台車除了擁有破千匹動力跟原廠最速車的頭銜，實際感受跟細節也有一些可以聊的，然後S跟S Plaid要怎麼選？我自己也有一些想法，一起來看看吧！ ⏎ 使用我的推薦連結購買特斯拉新車享1萬元折扣:https://ts.la/joeman156344,https://www.youtube.com/watch?v=D3dMg1JrGH8,是,有提供折廠商提供的專屬扣碼,D3dMg1JrGH8
20,B_臨界2分,台北牛肉麵大戰！2178元的奢華牛肉麵對決110元的平價牛肉麵！天東86牛肉麵、史記正宗牛肉麵、老劉刀切牛肉麵、gubami Sacial《Joe是要對決S2》Ep272 ft.陳艾熙【Joeman】,2025/7/7,挑戰/企劃,長片,非業配,2,行動呼籲句型,第三屆牛肉麵對決來啦！沒想到不知不覺已經拍到第三次，還能找到這麼多神級店家，真的是神仙打架，各有千秋、各領風騷！從細麵到粗麵，從清爽到濃郁，牛肉、牛筋、牛小排，甚至連龍蝦都放進碗裡，通通都給你！準備好晚餐，跟著節目一起吃爆，嘴饞起來！ ⏎ 獵奇哥德美學吸血鬼RPG《銀與血》已於6月26日正式上線！ ⏎ 立即下載：https://bit.ly/joeman123 ⏎ 禮包碼👉🏻【SABLAUNCH】、【SAB0626】 ⏎ 現在馬上加入領取最多300抽的開服福利並且在米尼克蘇斯大陸展開史詩壯闊的吸血鬼冒險! ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.,https://www.youtube.com/watch?v=3B7S02e4kSU,是,有宣傳活動及下載連結，還有禮包碼,3B7S02e4kSU
21,B_臨界2分,【Joeman】屋齡50年、正對墓地、格局歪斜！有些缺點的東京房屋開箱！《Joe是要看房日本篇》ep.14,2023/4/20,看房/房產,長片,非業配,2,折扣導購用語,沒想到吧～我們竟然還有日本看房的影片！這次要看的物件雖然都有缺點但裝潢都是新的，不知道大家能不能接受呢？ ⏎ 募資期間課程折扣優於5折！ ⏎ 完整課程介紹請看：https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=WH0aNUW8UX4,是,有直接商品導流，且宣傳優惠,WH0aNUW8UX4
22,B_臨界2分,開在路上超高調！電動皮卡Cybertruck試駕！【Joeman】Tesla特斯拉,2024/4/12,汽車,長片,非業配,2,折扣導購用語,為了試駕傳說中的Cybertruck，我們直接飛到美國洛杉磯！Cybertruck除了外觀很帥外，開起來的感受也非常特別，聽說台灣訂單量也超多，還在望眼欲穿的準車主可以先來聞香一下！ ⏎ 使用我的推薦連結購買特斯拉新車享1萬元折扣:https://ts.la/joeman156344,https://www.youtube.com/watch?v=5B1WHTu2B1I,是,有提供折廠商提供的專屬扣碼,5B1WHTu2B1I
23,B_臨界2分,【Joeman】6180元的奢華和牛漢堡對決225元的平價漢堡！ Li'l Woody's、Red Mill Burgers、John Howie Steak《Joe是要對決S2》Ep164ft.劉沛,2023/6/12,挑戰/企劃,長片,非業配,2,購買行動用語,在美國除了要拍牛排對決，當然也要來拍一下漢堡對決，作為歐美的標誌性餐點，漢堡在美國大部分都是平價的，最貴通常就是20幾美金，但這次在我們任性的要求下，竟然直接出現了要200美金的漢堡... ⏎ 舒敏益生菌 - 2入組限時特價中⚡️ ⏎ https://reurl.cc/QX3rbO ⏎ ㊙️九妹粉絲專屬！ 輸入邀請碼 ▌JOEMANONLY ▌ ⏎ 新註冊會員再送$600購物金 ⏎ 以及培根(煙肉)/洋蔥圈/奶昔 (花生醬果醬口味),https://www.youtube.com/watch?v=hllr9hnwPwE,是,有直接提及贊助商名，且有宣傳優惠活動,hllr9hnwPwE
24,B_臨界2分,台中牛肉麵大戰！1280元的奢華牛肉麵對決160元的平價牛肉麵！若柳一筋、可口牛肉麵、太初麵食、精誠牛肉麵、洄味《Joe是要對決S2》Ep285 ft.魚乾【Joeman】,2025/10/6,挑戰/企劃,長片,非業配,2,行動呼籲句型,感謝今天的乾爹：抽抽 一番賞 ⏎ 現在就點擊連結下載：https://reurl.cc/pYkW2e ⏎ 登入後按照路徑：福利➡️官方賞屋➡️Joemanの專屬福利 ⏎ 就可以參與此次抽獎活動 ⏎ 牛肉麵是台灣的靈魂料理，怎麼可能只在台北作戰？這回把戰場拉到台中，直擊五家截然不同風格與價位的牛肉麵。有傳統老字號的紅燒經典，也有走浮誇路線的高檔版本；既有裝潢華麗的時尚餐廳，也少不了巷弄間最接地氣的小麵館。清燉、紅燒、番茄，各派系輪番登場，從百元小碗到千元豪華，一次看盡平價的扎實功夫與頂級的奢華享受。這場台中牛肉麵對決，絕對不能錯過！ ⏎ 感謝今天的乾爹：抽抽 一番賞 ⏎ 現在就點擊連結下載 ⏎ https://app.cc1kuji.com/app/promote/share_h5/app/promote/share_h5?code=qQjloz ⏎ 登入後按照路徑：福利➡️官方賞屋➡️Joemanの專屬福利 ⏎ 就可以參與此,https://www.youtube.com/watch?v=drZYsIgqSIo,是,有直接商品導流,drZYsIgqSIo
25,B_臨界2分,【Joeman】18元的平價包子對決200元的奢華包子！康樂意小吃店、妙口四神湯、永豐盛、包子商行、老上海《Joe是要對決S2》Ep146 ft.吃貨豪豪@HowHowEat,2023/2/6,挑戰/企劃,長片,非業配,2,購買行動用語,今天又是吃到超級飽、充滿澱粉的一集，那就是包子對決！一口氣吃好幾家北部名店，以前覺得包子一顆50元就蠻貴了，結果這次竟然出現了一顆200元的隱藏版包子～～～太奢了吧！ ⏎ 納豆紅麴Q10二入組 限時特價！ ⏎ 👉 https://reurl.cc/X5Y733 ⏎ 九妹粉絲專屬！ ⏎ 新註冊會員再送$600購物金,https://www.youtube.com/watch?v=Ia8SU_mrwfc,是,有直接商品導流,Ia8SU_mrwfc
26,C_未判定,1850元的奢華美式炸雞對決69元的平價美式炸雞！德州美墨炸雞 、爆Q美式炸雞、Nola、Buttermilk 、HOTTIES 《Joe是要對決S2》Ep204 ft.KIKI【Joeman】,2024/3/18,挑戰/企劃,長片,非業配,0,,Joe是要對決 經歷了台式炸雞、韓式炸雞之後，終於輪到美式炸雞啦！不拍不知道，美式炸雞居然還有這麼多流派！皮脆多汁的滋味，每一家都讓我露出滿滿笑容。最後還加碼挑戰超辣美式雞柳條！真的是吃到懷疑人生。晚餐準備好跟我一起饞起來！,https://www.youtube.com/watch?v=QJPm1kkiTaQ,不是,資訊欄無特別附註內容,QJPm1kkiTaQ
27,C_未判定,超能裝的外出神包開箱！前陣子美國出差都靠它～,2024/6/4,3C開箱評測,Shorts,非業配,0,,,https://www.youtube.com/watch?v=HQZ9u7Rzw38,是,雖無連結，但影片本身及是宣傳內容，包含折扣碼等,HQZ9u7Rzw38
28,C_未判定,【Joeman】在東京Sony總部開箱Sony手機！Xperia 1 V,2023/5/11,3C開箱評測,長片,非業配,0,,全新的Xperia 1 V 聽說在整體拍照表現上有非常大的提升，為此我們專門飛到日本東京開箱手機，也順便參觀了傳說中的日本SONY總部阿，身為索粉真的是解鎖了人生上一個重要的成就，那就是到Sony東京總部開箱Sony手機！ ⏎ https://reurl.cc/n79jNn,https://www.youtube.com/watch?v=3x4Tg05z6Yg,是,有直接商品導流,3x4Tg05z6Yg
29,C_未判定,用VR頭盔看片看到一半發現女優就在旁邊是怎樣的體驗？ #河北彩花 #整人,2023/8/8,挑戰/企劃,Shorts,非業配,0,,,https://www.youtube.com/watch?v=N-vsCail1Z0,難以判斷,內容為之前業配內容/來賓之衍生影片，但該影片本身並無業配內容,N-vsCail1Z0
30,C_未判定,在海之京都「伊根舟屋」住一晚！日本三景天橋立 #京都#自駕 #日本旅遊,2026/1/3,旅遊/航空,Shorts,非業配,0,,,https://www.youtube.com/watch?v=nq-TiAyCE-o,不是,本身並無商業內容,nq-TiAyCE-o
31,C_未判定,【Joeman】PlayStation VR2開箱！畫面頂級！可惜不能接PC,2023/2/24,3C開箱評測,長片,非業配,1,新品發表用語,PS VR 2終於上市，若跟一代產品相比，在硬體面上的改動真的非常大，整體玩下來的畫質很好，配戴也舒適，重點是眼鏡仔玩也不容易起霧，可惜～不支援PC代表他只能玩PS5上的VR遊戲，而第一波支援的遊戲本身又不夠多...,https://www.youtube.com/watch?v=OFwB39moInw,不是,雖題材近似廠商業配，但資訊欄與影片本身皆無商業內容，推測自費開箱,OFwB39moInw
32,C_未判定,Macbook Neo賣太好全球缺貨⋯其中一個原因是當初拿來消庫存的A18 Pro可能不夠了？,2026/4/8,3C開箱評測,Shorts,非業配,0,,,https://www.youtube.com/watch?v=EJFV0dV9uDo,不是,本身並無商業內容,EJFV0dV9uDo
33,C_未判定,大阪萬博的免費洗瓶子機跟免費冰水！#expo #大阪旅遊,2025/6/29,旅遊/航空,Shorts,非業配,0,,,https://www.youtube.com/watch?v=1VV_Kp98fsQ,不是,本身並無商業內容,1VV_Kp98fsQ
34,C_未判定,復古風格超美！一晚四萬台幣的京都奢華飯店！丸福樓まるふくろう開箱,2023/2/11,3C開箱評測,Shorts,非業配,0,,,https://www.youtube.com/watch?v=bXLJNXypu1k,不是,本身並無商業內容,bXLJNXypu1k
35,C_未判定,公園對決！台股睡大安森林公園，美股睡紐約中央公園，請大家自行卡位⋯,2024/8/5,挑戰/企劃,Shorts,非業配,0,,,https://www.youtube.com/watch?v=EoXkGTi2MZU,不是,本身並無商業內容,EoXkGTi2MZU
