檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
11,性能有提升，但不用現在買！全世界賣爆的 Switch 2 詳細開箱！性能實測、外觀改哪裡？真實感想與購買建議【Joeman】Nintendo Switch 2 Review,2025/6/24,3C開箱評測,長片,非業配,0,,TRUE,性能有提升但不需要現在買！全世界賣爆的 Switch 2 詳細開箱！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bwk ⏎ https://www.youtube.com/watch?v=0ULS8rJk9cM ⏎ https://youtu.be/B3R7jjU_ER4 ⏎ https://youtu.be/MbIJ1gxbjGM ⏎ https://youtu.be/nUt4s4S2Z2s ⏎ (iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期團購連結：https://l,https://www.youtube.com/watch?v=YePsJGqlLm4,否,該機為海外購入，資訊欄亦無商業行為,YePsJGqlLm4
12,帶韓國歐巴體驗台北夜生活！【Joeman】ft.小隆、Leo、痣作人、小聶、艾熙、美麗本人,2025/3/20,挑戰/企劃,長片,非業配,0,,TRUE,帶韓國歐巴出去玩！體驗台北夜生活！【Joeman】ft.小隆、Leo、痣作人、小聶、艾熙 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=P3VpPa4uH3w,否,資訊欄無商業行為,P3VpPa4uH3w
13,影片炎上後下架的反省與檢討【Joeman】網紅觀察室,2025/2/17,人物/訪談,長片,非業配,0,,FALSE,影片炎上後下架的反省與檢討-網紅觀察室,https://www.youtube.com/watch?v=3kcA0Hjjfzk,否,資訊欄無商業行為,3kcA0Hjjfzk
14,拯救流量大作戰！一口氣上5個訪談節目！ft.博恩、Dodomen、激罵揪某聊、AmazingTalker、瘋女人聊天室【Joeman】網紅觀察室,2024/12/28,人物/訪談,長片,非業配,0,,TRUE,一直跟陌生人聊天是甚麼感覺？一口氣上5個訪談節目！ft.博音、激罵揪某聊、AmazingTalker、瘋女人聊天室、跳脫Do式圈【Joeman】網紅觀察室 ⏎ 1.博音訪談 ⏎ https://youtu.be/qxetOcMX8fI?si=dDNvQSSyicuNBt2d ⏎ 2.激罵揪某聊（上、下集） ⏎ https://open.spotify.com/episode/6nYaq3lC21LMgQYPoN2qoE?si=u6qcV5hyTISMmkHqh3cOXw ⏎ https://open.spotify.com/episode/6fwWv31E0Al5BQe6uBzMqb?si=5EXc5jQFTM-g-m_Jabt59A ⏎ 3.Dodomen訪談 ⏎ https://youtu.be/wNfSubLNGbw?si=jJLg6hWTpXLtTbCS ⏎ 4.Amazing Talker訪談 ⏎ https://,https://www.youtube.com/watch?v=ZobG2c4Fcr0,否,資訊欄無商業行為,ZobG2c4Fcr0
15,年末慶功宴！那些陪我度過2024的人！ft.阿滴、洋蔥、Dcard、Ted、痣作人【Joeman】,2024/12/26,人物/訪談,長片,非業配,0,,TRUE,時間飛逝，轉眼2024就要過去了，盤點今年的事業，很慶幸自己能勉強抵擋住長影音的衰退潮，還是陸續製作出許多自己開心的作品，也超感動能拿下走鐘獎年度創作者跟最佳節目兩大獎項，這支影片我決定跟陪伴我走過這一年的伙伴好好聊聊，並且為了好好慶祝一下這精實的一年，麥卡倫特地贊助了我們超好喝的200周年限定款-春宴系列赫雷斯，真的是非常適合跟家人好友年末相聚時的威士忌！ ⏎ 如欲購買麥卡倫雙春宴套組，請前往菸酒專門市消費麥卡倫全系列酒款達指定門檻，並加入 Macallan Society 會員，即有驚喜好禮。 ⏎ 麥卡倫 200 週年限定酒款， ⏎ 全台精選 20 家酒吧限量提供：https://maac.io/3dnlW/bYY9U ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置,https://www.youtube.com/watch?v=N92CHWr1B_8,是,資訊欄推銷麥卡倫雙春宴套組，且提供購可飲用地點「全台精選 20 家酒吧限量提供：https://maac.io/3dnlW/bYY9U」,N92CHWr1B_8
16,靈能的挑戰集數大變動！【Joeman】網紅觀察室,2024/11/13,人物/訪談,長片,非業配,0,,TRUE,靈能的挑戰集數大變動！【Joeman】網紅觀察室 ⏎ ＼節目調整公告📣／ ⏎ 感謝大家的喜愛及討論！ ⏎ 經團隊評估後： ⏎ 本週起，原訂每週三、五於 Joeman YT 更新的《靈能的挑戰》將拉長片長、調整為兩集併集播出， ⏎ 並於【 每週五 18:00 】準時上片！ ⏎ ﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏ ⏎ 全台第一檔靈能競賽節目 ⏎ 📺️ 播出時間｜ ⏎ 🎥 Joeman YT 頻道 每週五 18:00 播出 ⏎ 🎥 東森超視 33 頻道 每週五 22:00 播出 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/6,https://www.youtube.com/watch?v=dFlPxMxmsMQ,否,資訊欄無商業行為,dFlPxMxmsMQ
17,接受專訪到一半，發現對方是專寫網紅無聊新聞的記者！現場對質！網紅觀察室【Joeman】,2024/10/31,人物/訪談,長片,非業配,0,,TRUE,現場對質開嗆！專訪到一半，發現對方是專寫網紅無聊新聞的記者！【網紅觀察室】Joeman ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=V1Jhc7IF4Kg,否,資訊欄無商業行為,V1Jhc7IF4Kg
18,無人計程車體驗！能夠取代真人司機嗎？【Joeman】美國waymo實測,2024/10/17,挑戰/企劃,長片,非業配,0,,TRUE,真的沒有司機！無人計程車體驗！【Joeman】 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=8iPvn7r0oPI,否,資訊欄無商業行為,8iPvn7r0oPI
19,1800元的奢華滷味對決60元的平價滷味！南村私廚小酒棧、小後苑、燈籠滷味、東引小吃店、老翔記《Joe是要對決S2》Ep233 ft.阿貝【Joeman】,2024/10/7,挑戰/企劃,長片,非業配,0,,TRUE,滷味應該是台灣人學生時期的共同回憶吧！想不到吃什麼就吃滷味！想吃什麼就夾什麼！今天要帶大家吃遍台北五家不同的滷味，從平價到高檔通通不放過！每一家滷味都有它獨特的風味，究竟哪一家最值得推薦？價格和口味的差異又有多大？讓我們一起深入感受台灣滷味的魅力！￼ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=Dq7ADR6tGL4,否,資訊欄無商業行為,Dq7ADR6tGL4
20,穿越時空回應錫蘭！【Joeman】《靈能的挑戰》番外篇,2024/10/4,挑戰/企劃,長片,非業配,0,,TRUE,穿越時空回應錫蘭對！《靈能的挑戰》番外篇【Joeman】 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=EbQWa2uR1xo,否,資訊欄無商業行為,EbQWa2uR1xo
21,帶員工去看美國職棒！人生第一次看MLB！紐約洋基主場體驗，傳說中的基襪大戰！【Joeman】,2024/9/28,挑戰/企劃,長片,非業配,0,,TRUE,帶員工去看美國職棒超High！人生第一次看MLB！紐約洋基主場體驗，傳說中的基襪大戰！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=zT83fawS5t4,否,資訊欄無商業行為,zT83fawS5t4
22,Dcard員工算桃花！3800元的奢華算命對決200元的平價算命！姻緣篇！《Joe是要對決S2》Ep230 ft.Leo、Zona、胡子、妲妲【Joeman】,2024/9/16,挑戰/企劃,長片,非業配,0,,TRUE,這次的對決主題是「算命」，在眾多算命項目中，姻緣絕對是大眾關注的焦點。當我們在感情路上迷惘時，若算命老師能點亮一盞明燈，指引方向，那真的是一種救贖。今天我們特別邀請到 Dcard 的 Leo、Zona、妲妲，以及胡子，四位單身已久，非常渴望脫單的好朋友來現場，隨機分配給他們四位不同價位不同流派的老師來算姻緣。究竟會得出什麼結果呢？能夠順利脫單嗎？讓我們一起期待這場精彩的對決吧！ ⏎ 妹子都超正!! ⏎ https://reurl.cc/Orm8mA ⏎ 快來免費下載 iPair 吧 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https:/,https://www.youtube.com/watch?v=jwf3qdKZaWA,是,資訊欄推銷下載 iPai    https://reurl.cc/Orm8mA,jwf3qdKZaWA
23,我又試用了iPhone 16 Pro一天！發表會上沒說的細節分享！4K120錄影、AI混音、室內機身顏色差異【Joeman】,2024/9/11,3C開箱評測,長片,非業配,0,,TRUE,我又試用了iPhone 16 Pro！發表會上沒說的細節分享！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=5CGYq22OrD0,否,資訊欄無商業行為,5CGYq22OrD0
24,《靈能的挑戰》前導預告！全台第一檔靈能選秀節目！今年9月正式開播！,2024/8/4,挑戰/企劃,長片,非業配,0,,TRUE,《靈能的挑戰》前導預告！全台第一檔靈能選秀節目！今年9月開播！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=LBld2lQXzCg,否,資訊欄無商業行為,LBld2lQXzCg
25,9999元的奢華法式料理對決780元的平價法式料理！FRiTTA、Podium 《Joe是要對決S2》Ep221 ft.阿辰師【Joeman】,2024/7/15,挑戰/企劃,長片,非業配,0,,TRUE,法國料理，一直都是奢華的代名詞，距離上次拍這個題材，也已經是兩年前了。說實在的，吃法國菜，沒有一個懂的人帶，還真的是吃不懂。這次對決不僅價格超過上次，還請到了旅法廚師Youtuber阿辰師，絕對給大家視覺、味覺、知識的三重饗宴，當然還有滿滿的幹話，一起看起來吧！ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=xyFHO7rnj4s,否,資訊欄無商業行為,xyFHO7rnj4s
26,iPhone 16 模型機外流開箱！這代值得等嗎？螢幕加大？AI按鈕？【Joeman】,2024/6/26,玩具/收藏,長片,非業配,0,,TRUE,一年一度的iphone16模型機跟預測又來啦！到底今年值不值得等呢？ ⏎ 參考資料： ⏎ https://www.macrumors.com/roundup/iphone-16/ ⏎ https://www.macrumors.com/2024/05/20/all-the-rumored-iphone-16-colors/ ⏎ https://www.macrumors.com/2024/04/15/iphone-16-pro-camera-reduced-lens-flare/ ⏎ https://www.cnet.com/tech/mobile/iphone-16-the-most-exciting-rumors/ ⏎ https://youtu.be/7aP1weCsBOI ⏎ https://youtu.be/CXy7olkV8ek ⏎ https://youtu.be/lrkL-h03sKM ⏎ https://y,https://www.youtube.com/watch?v=njOUQCIPMwI,否,資訊欄無商業行為,njOUQCIPMwI
27,員工圓夢企劃！第一次看NBA就上大螢幕！花3萬在搖滾區值得嗎？【Joeman】,2024/5/1,3C開箱評測,長片,非業配,0,,TRUE,這次去美國出差時，因為知道攝影師建文從小就非常喜歡看NBA跟打2K，所以我們決定抽出一個晚上的時間帶他跟我自己現場第一次去看NBA，結果現場真的超嗨超好玩，重點是我們竟然還上了大螢幕！有夠開心啦～ ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=zEjw00Cp-FY,否,資訊欄無商業行為,zEjw00Cp-FY
28,清明節企劃！220元的平價潤餅對決50元的平價潤餅！ 正宗現做手工潤餅、吾旺再季、A-Bei 潤餅小棧、欣葉台菜巧味潤餅《Joe是要對決S2》Ep206 ft. 阿貝【Joeman】,2024/4/1,挑戰/企劃,長片,非業配,1,品牌官方導流,TRUE,一年一度的清明節來啦！通常我都自己暱稱為潤餅節，Q彈的餅皮加上滿滿的花生粉跟紅燒肉！很簡單，我就是吃爆！本著Youtube搭時事的原則，來個潤餅對決絕對是合情合理。不知道大家喜歡潤餅包些什麼料呢？原本以為潤餅都差不多，但這次的四家還真的各有千秋，清明連假在台北不知道去哪找潤餅吃，看這集就對了，備好晚餐一起饞起來！ ⏎ 「STORY LEATHER」官方網站：https://www.ptow.com.tw/9m ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ (部分iOS用戶會看不到訂閱按鈕，且iOS訂閱會比較貴，建議切到MAC瀏覽器、PC瀏覽器或安卓裝置訂閱) ⏎ 不定期各種團購連結：https://linkgoods.com/joeman ⏎ 我與Ted合開的房地產課程「超實用買房秘技」https://www.pressplay.cc/link/69D37F42,https://www.youtube.com/watch?v=l24p4KDQNLE,是,「STORY LEATHER」官方網站：https://www.ptow.com.tw/9m,l24p4KDQNLE
